msg,time,user,A_type,B_type,m-type,receiver,A_inst,B_inst,userID,DU ID,Grounding Act,Opened CGUs,Grounded CGUs,Degree,m_type
Hi there. Looks like I'm outside,0:00:11,A,/s/street,/b/bathroom,text,All,/s/street/ADE_train_00018668.jpg,/b/bathroom/ADE_train_00002808.jpg,1037.0,[1],['Initiate'],[1],[],[],
im in a bathroom,0:00:14,B,/s/street,/b/bathroom,text,All,/s/street/ADE_train_00018668.jpg,/b/bathroom/ADE_train_00002808.jpg,1038.0,[2],['Initiate'],[2],[],[],
im in a childs room with a pink moon,0:00:32,B,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005466.jpg,/c/childs_room/ADE_train_00005498.jpg,1038.0,"[1, 3]","['Move', 'Initiate']",[3],[1],['low'],
I made it to the childs room. Mine has a blue wall,0:00:38,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005466.jpg,/c/childs_room/ADE_train_00005498.jpg,1037.0,"[2, 4]","['Move', 'Initiate']",[4],[2],['low'],
"OK, can you find the blue one?",0:00:45,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005466.jpg,/c/childs_room/ADE_train_00005498.jpg,1037.0,"[3, 5]","['Explicit-Ack', 'Initiate']",[5],[3],['medium'],
Not yellow?,0:00:46,B,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005466.jpg,/c/childs_room/ADE_train_00005498.jpg,1038.0,"[4, 6]","['Use', 'Initiate']",[6],[4],['medium'],
ill find you,0:00:52,B,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005466.jpg,/c/childs_room/ADE_train_00005498.jpg,1038.0,[5],['Use'],[],[5],['medium'],
ok,0:00:54,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005466.jpg,/c/childs_room/ADE_train_00005498.jpg,1037.0,"[6, 5]","['Move', 'Explicit-Ack']",[],"[6, 5]","['low', 'medium']",
"There are stuffed bears on the bed, window on left",0:01:12,A,/c/childs_room,/n/newsstand/outdoor,text,All,/c/childs_room/ADE_train_00005466.jpg,/n/newsstand/outdoor/ADE_train_00013832.jpg,1037.0,[7],['Initiate'],[7],[],[],
any luck?,0:01:43,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005466.jpg,/c/childs_room/ADE_train_00005489.jpg,1037.0,[8],['Initiate'],[8],[],[],
"Just a sec, I'm moving to the west now.",0:01:43,A,/c/childs_room,/c/childs_room,text,All,/c/childs_room/ADE_train_00005466.jpg,/c/childs_room/ADE_train_00005489.jpg,1037.0,[8],['Initiate'],[8],[],[],
I've found one all ready. ,0:01:43,B,/h/hotel_room,/u/utility_room,text,All,/h/hotel_room/ADE_train_00009628.jpg,/u/utility_room/ADE_train_00019419.jpg,847.0,[101],['Initiate'],[101],"[101, 102, 103]",[],
This has white washer and dryer. Rug on the hardwood floors. Sink. ,0:02:03,B,/h/hotel_room,/u/utility_room,text,All,/h/hotel_room/ADE_train_00009628.jpg,/u/utility_room/ADE_train_00019419.jpg,847.0,[102],['Initiate'],[102],[104],[],
On the left side of the image I can see a bit of the door frame. ,0:02:13,B,/u/utility_room,/u/utility_room,text,All,/u/utility_room/ADE_train_00019420.jpg,/u/utility_room/ADE_train_00019419.jpg,847.0,[103],['Initiate'],[103],[105],[],
