msg,time,user,A_type,B_type,m-type,receiver,A_inst,B_inst,userID,DU ID,Grounding Act,Opened CGUs,Grounded CGUs,Degree,m_type
hello,0:00:06,B,/b/bathroom,/k/kennel/outdoor,text,All,/b/bathroom/ADE_train_00000126.jpg,/k/kennel/outdoor/ADE_train_00010100.jpg,207.0,,,,,,
ok,0:00:09,B,/b/bathroom,/k/kennel/outdoor,text,All,/b/bathroom/ADE_train_00000126.jpg,/k/kennel/outdoor/ADE_train_00010100.jpg,207.0,,,,,,
hi,0:00:13,A,/b/bathroom,/k/kennel/outdoor,text,All,/b/bathroom/ADE_train_00000126.jpg,/k/kennel/outdoor/ADE_train_00010100.jpg,208.0,,,,,,
utility room we meet at,0:00:15,B,/b/bathroom,/k/kennel/outdoor,text,All,/b/bathroom/ADE_train_00000126.jpg,/k/kennel/outdoor/ADE_train_00010100.jpg,207.0,[1],['Initiate'],[1],[],[],
in the bathroom now,0:00:25,B,/k/kennel/outdoor,/b/bathroom,text,All,/k/kennel/outdoor/ADE_train_00010100.jpg,/b/bathroom/ADE_train_00000126.jpg,207.0,[2],['Initiate'],[2],[],[],
i'm here. west of bathroom,0:00:50,A,/u/utility_room,/b/bathroom,text,All,/u/utility_room/ADE_train_00019420.jpg,/b/bathroom/ADE_train_00000126.jpg,208.0,"[1, 2, 3]","['Move', 'Use', 'Initiate']",[3],"[1, 2]","['low', 'medium']",
bathroom ,0:00:52,B,/u/utility_room,/b/bathroom,text,All,/u/utility_room/ADE_train_00019420.jpg,/b/bathroom/ADE_train_00000126.jpg,207.0,[3],['Repeat-Back'],[],[],[],
west gets me bathroom,0:01:02,B,/u/utility_room,/b/bathroom,text,All,/u/utility_room/ADE_train_00019420.jpg,/b/bathroom/ADE_train_00000126.jpg,207.0,[4],['Initiate'],[4],[],[],
I am in the bathroom. Where are we meeting again?,0:01:13,B,/u/utility_room,/b/bathroom,text,All,/u/utility_room/ADE_train_00019420.jpg,/b/bathroom/ADE_train_00000126.jpg,207.0,"[4, 5]","['Repeat', 'Initiate']",[5],[],[],
utility room,0:01:25,A,/u/utility_room,/b/bathroom,text,All,/u/utility_room/ADE_train_00019420.jpg,/b/bathroom/ADE_train_00000126.jpg,208.0,"[3, 4, 5, 6]","['Move', 'Move', 'Use', 'Initiate']",[6],"[3, 4, 5]","['low', 'low', 'medium']",
