msg,time,user,A_type,B_type,m-type,receiver,A_inst,B_inst,userID,DU ID,Grounding Act,Opened CGUs,Grounded CGUs,Degree,m_type
Hey! I'm in a living room with a big brown circle on the wall,0:00:29,A,/l/living_room,/s/staircase,text,All,/l/living_room/ADE_train_00011239.jpg,/s/staircase/ADE_train_00016825.jpg,533.0,[1],['Initiate'],[1],[],[],
i found two staircases,0:00:36,B,/l/living_room,/s/staircase,text,All,/l/living_room/ADE_train_00011239.jpg,/s/staircase/ADE_train_00016825.jpg,534.0,"[1, 2]","['Move', 'Initiate']",[2],[1],['low'],
one with brown wood doors to right,0:00:43,B,/l/living_room,/s/staircase,text,All,/l/living_room/ADE_train_00011239.jpg,/s/staircase/ADE_train_00016825.jpg,534.0,[3],['Initiate'],[3],[],[],
I'm going to go north,0:00:48,A,/l/living_room,/s/staircase,text,All,/l/living_room/ADE_train_00011239.jpg,/s/staircase/ADE_train_00016801.jpg,533.0,"[2, 4]","['Move', 'Initiate']",[4],[2],['low'],
Okay i'll look out for it,0:00:53,A,/l/living_room,/s/staircase,text,All,/l/living_room/ADE_train_00011239.jpg,/s/staircase/ADE_train_00016801.jpg,533.0,"[3, 5]","['Use', 'Initiate']",[5],[3],['medium'],
one with bloack table to left of stairs,0:00:55,B,/l/living_room,/s/staircase,text,All,/l/living_room/ADE_train_00011239.jpg,/s/staircase/ADE_train_00016801.jpg,534.0,[6],['Initiate'],[6],[],[],
No plants?,0:01:05,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016792.jpg,/s/staircase/ADE_train_00016825.jpg,533.0,"[6, 7]","['Move', 'Initiate']",[7],[6],['low'],
one with green stone steps,0:01:13,B,/s/street,/s/staircase,text,All,/s/street/ADE_train_00017798.jpg,/s/staircase/ADE_train_00016827.jpg,534.0,"[5, 8]","['Move', 'Initiate']",[8],[5],['low'],
nope,0:01:14,B,/s/street,/s/staircase,text,All,/s/street/ADE_train_00017798.jpg,/s/staircase/ADE_train_00016827.jpg,534.0,[7],['Use'],[],[7],['medium'],
"Okay, still looking...",0:01:42,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016827.jpg,/s/staircase/ADE_train_00016801.jpg,533.0,"[8, 9, 10]","['Explicit-Ack', 'Explicit-Ack', 'Initiate']",[10],"[8, 9]","['ambiguous', 'medium']",
"Found a bunch of staircases, none of them match so far",0:02:10,A,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016825.jpg,/s/staircase/ADE_train_00016801.jpg,533.0,[11],['Initiate'],[11],[],[],
stay still in one and describe,0:02:18,B,/s/staircase,/s/staircase,text,All,/s/staircase/ADE_train_00016801.jpg,/s/staircase/ADE_train_00016801.jpg,534.0,"[10, 11, 12]","['Move', 'Use', 'Initiate']",[12],"[10, 11]","['low', 'medium']",
