msg,time,user,A_type,B_type,m-type,receiver,A_inst,B_inst,userID,DU ID,Grounding Act,Opened CGUs,Grounded CGUs,Degree,m_type
hello,0:00:22,A,/s/street,/b/bedroom,text,All,/s/street/ADE_train_00017872.jpg,/b/bedroom/ADE_train_00003769.jpg,361.0,,,,,,
hi,0:00:24,B,/s/street,/b/bedroom,text,All,/s/street/ADE_train_00017872.jpg,/b/bedroom/ADE_train_00003769.jpg,362.0,,,,,,
"ok, im in a living room",0:00:47,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011154.jpg,/l/living_room/ADE_train_00011154.jpg,362.0,[1],['Initiate'],[1],[],[],
Does it have a yellow couch?,0:00:57,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011154.jpg,/l/living_room/ADE_train_00011154.jpg,362.0,"[1, 3]","['Use', 'Initiate']",[3],[1],['medium'],
white couch,0:00:57,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011154.jpg,/l/living_room/ADE_train_00011154.jpg,361.0,"[1, 3]","['Use', 'Initiate']",[3],[1],['medium'],
a glass table with flowers on it,0:01:03,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011154.jpg,/l/living_room/ADE_train_00011154.jpg,362.0,[4],['Initiate'],[4],[],[],
Nope. I'm moving to the west now.,0:01:03,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011154.jpg,/l/living_room/ADE_train_00011154.jpg,362.0,[4],['Initiate'],[4],[],[],
outside,0:01:03,A,/i/inn/outdoor,/s/street,text,All,/i/inn/outdoor/ADE_train_00009882.jpg,/s/street/ADE_train_00017428.jpg,166.0,[101],['Initiate'],[101],[101],[],
me too,0:01:11,B,/i/inn/outdoor,/b/bedroom,text,All,/i/inn/outdoor/ADE_train_00009882.jpg,/b/bedroom/ADE_train_00000511.jpg,167.0,"[101, 102]","['Use', 'Initiate']",[102],[102],['medium'],
I keep ending up in the pool room,0:01:41,A,/g/game_room,/b/bedroom,text,All,/g/game_room/ADE_train_00008362.jpg,/b/bedroom/ADE_train_00000511.jpg,166.0,"[102, 103]","['Move', 'Initiate']",[103],[103],['low'],
we're looking for the wine cellar,0:01:50,B,/i/inn/outdoor,/b/bedroom,text,All,/i/inn/outdoor/ADE_train_00009882.jpg,/b/bedroom/ADE_train_00000511.jpg,167.0,"[103, 104]","['Move', 'Initiate']",[104],[104],['low'],
east takes me outside,0:01:52,A,/i/inn/outdoor,/b/bedroom,text,All,/i/inn/outdoor/ADE_train_00009882.jpg,/b/bedroom/ADE_train_00000511.jpg,166.0,[105],['Initiate'],[105],[105],[],
yes,0:01:56,A,/i/inn/outdoor,/b/bedroom,text,All,/i/inn/outdoor/ADE_train_00009882.jpg,/b/bedroom/ADE_train_00000511.jpg,166.0,[104],['Use'],[106],[106],['medium'],
yeah i keep getting the bedroom,0:02:00,B,/g/game_room,/b/bedroom,text,All,/g/game_room/ADE_train_00008362.jpg,/b/bedroom/ADE_train_00000511.jpg,167.0,"[105, 106]","['Move', 'Initiate']",[107],,['low'],
Pool room again,0:02:05,A,/g/game_room,/b/bedroom,text,All,/g/game_room/ADE_train_00008362.jpg,/b/bedroom/ADE_train_00000511.jpg,166.0,"[106, 107]","['Move', 'Initiate']",,,['low'],
let me change the room.,0:02:05,A,/g/game_room,/b/bedroom,text,All,/g/game_room/ADE_train_00008362.jpg,/b/bedroom/ADE_train_00000511.jpg,166.0,"[106, 107]","['Move', 'Initiate']",,,['low'],
I am in a living room ,0:02:05,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000847.jpg,/l/living_room/ADE_train_00000763.jpg,774.0,[201],['Initiate'],[201],[201],[],
Okay describe it and I'll find you,0:02:26,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000847.jpg,/l/living_room/ADE_train_00000763.jpg,772.0,"[201, 202]","['Use', 'Initiate']",[202],[202],['medium'],
It has two white easy chairs with brown pillows on them. Two large windows with red curtains,0:02:32,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000847.jpg,/l/living_room/ADE_train_00000763.jpg,774.0,[203],['Initiate'],[203],"[203, 204, 205]",[],
an entertainment center with a TV on the left ,0:02:38,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000847.jpg,/l/living_room/ADE_train_00000763.jpg,774.0,"[202, 204]","['Use', 'Initiate']",[204],[206],['medium'],
a circular brown coffee table in the middle ,0:02:53,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00011441.jpg,/l/living_room/ADE_train_00000763.jpg,774.0,[205],['Initiate'],[205],[207],[],
looking through big windows to the outside?,0:03:29,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000763.jpg,/l/living_room/ADE_train_00000763.jpg,772.0,"[203, 204, 205, 206]","['Move', 'Move', 'Use', 'Initiate']",[206],[208],"['low', 'low', 'medium']",
yes,0:03:47,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000763.jpg,/l/living_room/ADE_train_00000763.jpg,774.0,[206],['Use'],[207],,['medium'],
clock on wall on the left?,0:03:49,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000763.jpg,/l/living_room/ADE_train_00000763.jpg,772.0,[207],['Initiate'],[208],,[],
"yep, above a lamp ",0:03:55,B,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000763.jpg,/l/living_room/ADE_train_00000763.jpg,774.0,"[207, 208]","['Use', 'Initiate']",,,['medium'],
okay,0:03:58,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000763.jpg,/l/living_room/ADE_train_00000763.jpg,772.0,[208],['Explicit-Ack'],,,['medium'],
moving to south now.,0:03:58,A,/l/living_room,/l/living_room,text,All,/l/living_room/ADE_train_00000763.jpg,/l/living_room/ADE_train_00000763.jpg,772.0,[208],['Explicit-Ack'],,,['medium'],
im in a playroom,0:03:58,B,/b/bedroom,/p/playroom,text,All,/b/bedroom/ADE_train_00000276.jpg,/p/playroom/ADE_train_00015399.jpg,439.0,[301],['Initiate'],[301],"[301, 302, 303, 304]",[],
it has a slide,0:04:03,B,/b/bedroom,/p/playroom,text,All,/b/bedroom/ADE_train_00000276.jpg,/p/playroom/ADE_train_00015399.jpg,439.0,[302],['Initiate'],[302],[305],[],
2 laundry baskets,0:04:11,B,/b/bedroom,/p/playroom,text,All,/b/bedroom/ADE_train_00000276.jpg,/p/playroom/ADE_train_00015399.jpg,439.0,[303],['Initiate'],[303],[306],[],
brown door on left,0:04:21,B,/b/bedroom,/p/playroom,text,All,/b/bedroom/ADE_train_00000276.jpg,/p/playroom/ADE_train_00015399.jpg,439.0,[304],['Initiate'],[304],"[308, 309]",[],
?,0:04:34,B,/b/bedroom,/p/playroom,text,All,/b/bedroom/ADE_train_00000276.jpg,/p/playroom/ADE_train_00015399.jpg,439.0,[304],['Req-Ack'],[305],,[],
looking around,0:04:56,A,/b/bedroom,/p/playroom,text,All,/b/bedroom/ADE_train_00000276.jpg,/p/playroom/ADE_train_00015399.jpg,440.0,"[301, 302, 303, 304, 305]","['Move', 'Move', 'Move', 'Move', 'Initiate']",[306],,"['low', 'low', 'low', 'low']",
let me know i also found another... which one you find first,0:05:24,B,/p/playroom,/p/playroom,text,All,/p/playroom/ADE_train_00015411.jpg,/p/playroom/ADE_train_00015399.jpg,439.0,"[305, 306]","['Use', 'Initiate']",[307],,['medium'],
in playroom,0:05:36,A,/p/playroom,/p/playroom,text,All,/p/playroom/ADE_train_00015399.jpg,/p/playroom/ADE_train_00015416.jpg,440.0,"[306, 307]","['Use', 'Initiate']",[308],,['medium'],
the one i discribed,0:05:48,B,/p/playroom,/p/playroom,text,All,/p/playroom/ADE_train_00015399.jpg,/p/playroom/ADE_train_00015416.jpg,439.0,[307],['Req-Repair'],[309],,[],
"red slide, door on left, ",0:05:54,A,/p/playroom,/p/playroom,text,All,/p/playroom/ADE_train_00015399.jpg,/p/playroom/ADE_train_00015399.jpg,440.0,[308],['Initiate'],[311],,[],
two white baskets,0:05:59,A,/p/playroom,/p/playroom,text,All,/p/playroom/ADE_train_00015399.jpg,/p/playroom/ADE_train_00015399.jpg,440.0,[309],['Initiate'],,,[],
type done,0:06:15,B,/p/playroom,/p/playroom,text,All,/p/playroom/ADE_train_00015399.jpg,/p/playroom/ADE_train_00015399.jpg,439.0,"[308, 309, 311]","['Use', 'Use', 'Initiate']",,,"['medium', 'medium']",
What was the color of the couch in the first living room I visited?,0:06:19,B,,,Question,,,,,,,,,,
It was yellow,0:06:23,A,,,Answer,,,,,,,,,,
yellow,,,,,,,,,,,,,,,answer_line
