msg,time,user,A_type,B_type,m-type,receiver,A_inst,B_inst,userID,DU ID,Grounding Act,Opened CGUs,Grounded CGUs,Degree,m_type
i/m in the basement,0:00:38,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002483.jpg,/b/basement/ADE_train_00002493.jpg,1158.0,[1],['Initiate'],[1],[],[],
Ok what does it look like?,0:00:45,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002483.jpg,/b/basement/ADE_train_00002490.jpg,1159.0,"[1, 2]","['Explicit-Ack', 'Initiate']",[2],[1],['medium'],
White walls with wooden stuff along one wall?,0:00:54,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002483.jpg,/b/basement/ADE_train_00002490.jpg,1159.0,[3],['Initiate'],[3],[],[],
stairs on the left side unfinished,0:00:59,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002483.jpg,/b/basement/ADE_train_00002490.jpg,1158.0,"[2, 4]","['Use', 'Initiate']",[4],[2],['medium'],
Ok let me find it,0:01:04,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002483.jpg,/b/basement/ADE_train_00002490.jpg,1159.0,"[4, 5]","['Explicit-Ack', 'Initiate']",[5],[4],['medium'],
Is there a pinkish couch?,0:01:18,B,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002483.jpg,/b/basement/ADE_train_00002493.jpg,1159.0,[6],['Initiate'],[6],[],[],
no,0:01:22,A,/b/basement,/b/basement,text,All,/b/basement/ADE_train_00002483.jpg,/b/basement/ADE_train_00002493.jpg,1158.0,"[5, 6, 7]","['Move', 'Use', 'Initiate']",[7],"[5, 6]","['low', 'medium']",
a mat or something below the stairs?,0:01:55,B,/l/living_room,/b/basement,text,All,/l/living_room/ADE_train_00011127.jpg,/b/basement/ADE_train_00002483.jpg,1159.0,[9],['Initiate'],[9],[],[],
let me change the room.,0:01:55,B,/l/living_room,/b/basement,text,All,/l/living_room/ADE_train_00011127.jpg,/b/basement/ADE_train_00002483.jpg,1159.0,[9],['Initiate'],[9],[],[],
ok i see a flower on the table ,0:01:55,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[101],['Initiate'],[101],[101],[],
desk has silver legs - i was  here,0:02:06,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[102],['Initiate'],[102],[103],[],
SILVER LEGS?,0:02:23,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,"[101, 102]","['Move', 'Req-Repair']",[103],"[104, 105]",['low'],
yes,0:02:34,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[102],['Explicit-Ack'],[104],[107],['high'],
STRIP MALL,0:02:44,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,[103],['Initiate'],[105],"[106, 108]",[],
no a home office,0:02:51,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,"[103, 104]","['Use', 'Initiate']",[106],[109],['medium'],
can you move to find a home office,0:03:09,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[105],['Initiate'],[107],[110],[],
i AM TRYING,0:03:17,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,"[104, 105, 106]","['Move', 'Use', 'Initiate']",[108],[112],"['low', 'medium']",
tell me what it looks like and i can find it ,0:03:22,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,[107],['Initiate'],[109],[113],[],
SIDE WALK WITH BLUE AND WHITE TARPS,0:03:55,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,"[107, 108]","['Use', 'Initiate']",[110],[114],['medium'],
is there a home office,0:04:10,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,"[106, 108, 109]","['Move', 'Move', 'Initiate']",[112],,"['low', 'low']",
NO,0:04:16,A,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1078.0,"[109, 110]","['Use', 'Initiate']",[113],[115],['medium'],
maybe keep moving until you find one ,0:04:26,B,/f/flea_market/outdoor,/h/hotel_room,text,All,/f/flea_market/outdoor/ADE_train_00007959.jpg,/h/hotel_room/ADE_train_00009531.jpg,1079.0,"[110, 112]","['Use', 'Initiate']",[114],[116],['medium'],
